set,number
PRE,13
PRE,22
PRE,29
PRE,31
PRE,33
PRE,42
PRE,49
PRE,56
PRE,59
PRE,154
PRE,157
PRE,159
PRE,162
PRE,164
SCR,1
SCR,21
SCR,30
SCR,62
SCR,89
SCR,143
SCR,148
TEF,22
PAF,1
PAF,2
PAF,3
PAF,4
PAF,5
PAF,6
PAF,7
PAF,8
PAF,9
PAF,10
PAF,11
PAF,12
PAF,13
PAF,14
PAF,15
PAF,16
PAF,17
PAF,18
PAF,19
PAF,20
PAF,21
PAF,22
PAF,23
PAF,24
PAF,25
PAF,26
PAF,27
PAF,28
PAF,29
PAF,30
PAF,31
PAF,32
PAF,33
PAF,34
PAF,35
PAF,36
PAF,37
PAF,38
PAF,39
PAF,40
PAF,41
PAF,42
PAF,43
PAF,44
PAF,45
PAF,46
PAF,47
PAF,48
PAF,49
PAF,50
PAF,51
PAF,52
PAF,53
PAF,54
PAF,55
PAF,56
PAF,57
PAF,58
PAF,59
PAF,60
PAF,61
PAF,62
PAF,63
PAF,64
PAF,65
PAF,66
PAF,67
PAF,68
PAF,69
PAF,70
PAF,71
PAF,72
PAF,73
PAF,74
PAF,75
PAF,92
PAF,93
PAF,94
PAF,95
PAF,96
PAF,97
PAF,98
PAF,99
PAF,100
PAF,101
PAF,102
PAF,103
PAF,104
PAF,105
PAF,106
PAF,107
PAF,108
PAF,109
PAF,110
PAF,111
PAF,112
PAF,113
PAF,114
PAF,115
PAF,116
PAF,117
PAF,118
PAF,119
PAF,120
PAF,121
PAF,122
PAF,123
PAF,124
PAF,125
PAF,126
PAF,127
PAF,128
PAF,129
PAF,130
PAF,131
PAF,132
PAF,133
PAF,134
PAF,135
PAF,136
PAF,137
PAF,138
PAF,139
PAF,140
PAF,141
PAF,142
PAF,143
PAF,144
PAF,145
PAF,146
PAF,147
PAF,148
PAF,149
PAF,150
PAF,151
PAF,152
PAF,153
PAF,154
PAF,155
PAF,156
PAF,157
PAF,158
PAF,159
PAF,160
PAF,161
PAF,162
PAF,163
PAF,164
PAF,165
PAF,166
PAF,167
PAF,168
PAF,169
PAF,170
PAF,171
PAF,172
PAF,173
PAF,174
PAF,175
PAF,176
PAF,177
PAF,178
PAF,179
PAF,180
PAF,181
PAF,182
PAF,183
PAF,184
PAF,185
PAF,186
PAF,187
PAF,188
PAF,189
PAF,190
PAF,191
PAF,192
PAF,193
PAF,194
PAF,195
PAF,196
PAF,197
PAF,198
PAF,199
PAF,200
PAF,201
PAF,202
PAF,203
PAF,204
PAF,205
PAF,206
PAF,207
PAF,208
PAF,209
PAF,210
PAF,211
PAF,212
PAF,213
PAF,214
PAF,215
PAF,216
PAF,217
PAF,218
PAF,219
PAF,220
PAF,221
PAF,222
PAF,223
PAF,224
PAF,225
PAF,226
PAF,232
PAF,233
PAF,234
PAF,240
PAF,241
PAF,242
PAF,243
PAF,244
PAF,245
PAR,1
PAR,2
PAR,3
PAR,4
PAR,5
PAR,6
PAR,7
PAR,8
PAR,9
PAR,10
PAR,11
PAR,12
PAR,13
PAR,14
PAR,15
PAR,16
PAR,17
PAR,18
PAR,19
PAR,20
PAR,21
PAR,22
PAR,23
PAR,24
PAR,25
PAR,26
PAR,27
PAR,28
PAR,29
PAR,30
PAR,31
PAR,32
PAR,33
PAR,34
PAR,35
PAR,36
PAR,37
PAR,38
PAR,39
PAR,40
PAR,41
PAR,42
PAR,43
PAR,44
PAR,45
PAR,46
PAR,47
PAR,48
PAR,49
PAR,50
PAR,51
PAR,52
PAR,53
PAR,54
PAR,55
PAR,56
PAR,57
PAR,58
PAR,59
PAR,60
PAR,61
PAR,62
PAR,63
PAR,64
PAR,65
PAR,66
PAR,67
PAR,68
PAR,69
PAR,70
PAR,71
PAR,72
PAR,73
PAR,74
PAR,75
PAR,76
PAR,77
PAR,78
PAR,79
PAR,80
